"NoW March 27, 2019",0
Sony Announces 4.2 Million PlayStation VR Units Sold,https://roadtovr.us11.list-manage.com/track/click?u=5b1f1f8747d896bcd22323cd7&id=1b9c79df39&e=3f6d6d02cf
Putting Sony’s 4.2 million PSVR sales in context,https://arstechnica.com/gaming/2019/03/putting-sonys-4-2-million-psvr-sales-in-context/
"Sony is pulling digital PS4 games from sale at GameStop, other retailers ",http://www.gamasutra.com/view/news/339289/Sony_is_pulling_digital_PS4_games_from_sale_at_GameStop_other_retailers.php
Sony stops selling digital game codes at physical retailers,https://arstechnica.com/gaming/2019/03/sony-stops-selling-digital-game-codes-at-physical-retailers/
"Sony pulls full game download codes from all stores: PlayStation confirms to GamesIndustry.biz new strategy starts April 1, cards for DLC and virtual currency will still be available",https://www.gamesindustry.biz/articles/2019-03-26-sony-pulls-full-game-download-codes-from-all-stores
Devil May Cry 5 shipped 2m units in two weeks,http://www.gamesindustry.biz/articles/2019-03-22-devil-may-cry-shipped-2m-units-in-two-weeks
Devil May Cry 5 has sold 2 million copies in first two weeks,http://www.gamasutra.com/view/news/339190/Devil_May_Cry_5_has_sold_2_million_copies_in_first_two_weeks.php
"6 years in, Warframe nears 50 million lifetime players ",http://www.gamasutra.com/view/news/339309/6_years_in_Warframe_nears_50_million_lifetime_players.php
Fallout 76 and a handful of upcoming Bethesda titles now headed for Steam ,http://www.gamasutra.com/view/news/339311/Fallout_76_and_a_handful_of_upcoming_Bethesda_titles_now_headed_for_Steam.php
"Metro Exodus on Epic Store outsells its predecessor on Steam -- but what does that tell us?: “It's about the game, and not the store you sell on,” suggests Epic",https://www.gamesindustry.biz/articles/2019-03-21-metro-exodus-on-epic-store-outsells-its-predecessor-on-steam-but-what-does-that-tell-us
"Observation will be an Epic Games Store exclusive, Steam page pulled ",http://www.gamasutra.com/view/news/339439/Observation_will_be_an_Epic_Games_Store_exclusive_Steam_page_pulled.php
Epic offers support for third-party key sales -- but not for exclusives,https://www.gamesindustry.biz/articles/2019-03-18-epic-offers-support-for-third-party-key-sales-but-not-for-exclusives
Sweeney commits to human moderators & quality filters for Epic's Games Store ,http://www.gamasutra.com/view/news/338989/Sweeney_commits_to_human_moderators__quality_filters_for_Epics_Games_Store.php
"Epic Games Store is making the industry better but “gamers don't see that”: CEO Tim Sweeney addresses backlash against exclusivity deals, promises human curation to block “shock controversy games” like Rape Day",https://www.gamesindustry.biz/articles/2019-03-22-sweeney-epic-games-store-is-making-the-industry-better-but-gamers-dont-see-that
Report: Nintendo Is Releasing Two New Switch Models,https://kotaku.com/report-nintendo-is-releasing-two-new-switch-models-1833535450
Report: Nintendo planning two new Switch models,https://arstechnica.com/gaming/2019/03/report-nintendo-planning-two-new-switch-models/
Nintendo Allegedly Set To Release Two New Switch Models,https://ca.ign.com/articles/2019/03/25/nintendo-set-to-release-two-new-switch-models
Report: Nintendo to release two new Switch models in 2019 ,http://www.gamasutra.com/view/news/339278/Report_Nintendo_to_release_two_new_Switch_models_in_2019.php
Stardew Valley is the best-selling indie game on Nintendo Switch,http://www.gamesindustry.biz/articles/2019-03-22-stardew-valley-is-the-best-selling-indie-game-on-nintendo-switch-to-date
