US asks Canada to turn over Huawei’s CFO on alleged sanctions violations,,https://arstechnica.com/tech-policy/2019/01/us-asks-canada-to-turn-over-huaweis-cfo-on-alleged-sanctions-violations/
Will Social Media Websites Become State Actors?,,https://www.lexology.com/library/detail.aspx?g=f524deaf-b48d-409a-9f6b-40f4aac1cca7
Researchers discover state actor’s mobile malware efforts because of YOLO OPSEC,,https://arstechnica.com/information-technology/2019/01/researchers-discover-state-actors-mobile-malware-efforts-because-of-yolo-opsec/
BuzzFeed Set to Lay Off 15% of Its Employees,,https://variety.com/2019/digital/news/buzzfeed-layoff-15-percent-employees-1203116266/
Why Do People Fall for Fake News?,,https://www.nytimes.com/2019/01/19/opinion/sunday/fake-news.html
Deepfakes and the New Disinformation War: The Coming Age of Post-Truth Geopolitics,,https://www.foreignaffairs.com/articles/world/2018-12-11/deepfakes-and-new-disinformation-war?cid=soc-tw-rdr
"Social media can predict what you’ll say, even if you don’t participate",,https://arstechnica.com/science/2019/01/social-media-can-predict-what-youll-say-even-if-you-dont-participate/
“The Linux of social media”—How LiveJournal pioneered (then lost) blogging,,https://arstechnica.com/gadgets/2019/01/the-linux-of-social-media-how-livejournal-pioneered-then-lost-web-blogging/
Not all Opinions are Fit for Sharing,,https://www.lexology.com/library/detail.aspx?g=2ad5b499-5e4c-419f-8ea2-92318beb32d4
Risky Business Just Got Riskier - DOJ Changes Stance on Internet Gambling,,https://www.lexology.com/library/detail.aspx?g=d48607c4-e0d0-4c26-a8ca-b2f938b15b92
DOJ Opinion Leaves Industry Hanging: If UIGEA Exclusions Don’t Modify the Wire Act What Does That Mean for Intrastate Gambling Transactions? ,,https://www.lexology.com/library/detail.aspx?g=adffaad1-15f2-4d5b-b3b7-bda66635bcbe
"Hulu Drops Price Of Ad-Supported Subscription Plan, Increases Price For Hulu With Live TV",,https://www.tubefilter.com/2019/01/23/hulu-price-subscription-tiers-hulu-with-live-tv-price/
Hulu will make its basic plan cheaper as Netflix gets pricier,,https://arstechnica.com/gadgets/2019/01/hulu-will-make-its-basic-plan-cheaper-as-netflix-gets-pricier/
US Media Companies Engaging In Proactive Censorship Of Content Ahead Of India's New Hate Speech Laws,,https://www.techdirt.com/articles/20190120/08134141430/us-media-companies-engaging-proactive-censorship-content-ahead-indias-new-hate-speech-laws.shtml
"Netflix Signs Indian Content Code Banning Offensive Material, Agrees To Self-Regulate",,https://www.tubefilter.com/2019/01/17/netflix-code-best-practices-india-digital-content-regulation/
Netflix Spent $12 Billion on Content in 2018. Analysts Expect That to Grow to $15 Billion This Year,,https://variety.com/2019/digital/news/netflix-content-spending-2019-15-billion-1203112090/
Netflix Joins the Motion Picture Association of America,,https://variety.com/2019/biz/news/netflix-mpaa-1203114133/
"Why Does Everyone Else Want To Stop Netflix Password Sharing, When Netflix Is Fine With It?",,https://www.techdirt.com/articles/20190111/15495841378/why-does-everyone-else-want-to-stop-netflix-password-sharing-when-netflix-is-fine-with-it.shtml
Netflix on streaming rivals: ‘We compete with (and lose to) Fortnite more than HBO’,,https://www.geekwire.com/2019/netflix-streaming-rivals-compete-lose-fortnite-hbo/
The whirlwind success of Netflix's 'You' and 'Bird Box' shows it's become a well-oiled FOMO machine,,https://www.businessinsider.com/netflixs-you-and-bird-box-success-show-its-become-a-fomo-machine-2019-1
The Great Google Hangouts Shutdown begins October 2019,,https://arstechnica.com/gadgets/2019/01/the-great-google-hangouts-shutdown-begins-october-2019/
"YouTube TV Expanding to Cover Entire U.S., No International Launch Plans Right Now",,https://variety.com/2019/digital/news/youtube-tv-us-coverage-cord-cutters-1203114250/
YouTube TV Rolls Out To Remaining U.S. Markets Ahead Of Super Bowl,,https://www.tubefilter.com/2019/01/23/youtube-tv-rolls-out-ahead-of-super-bowl/
"Netflix Says Viewership, Subscriptions Spiked During Brief YouTube Outage In October",,https://www.tubefilter.com/2019/01/18/netflix-viewership-subscriptions-spiked-youtube-outage/
"2 Years After ‘Adpocalypse’, AT&T — The World’s Second Largest Advertiser — Returns To YouTube",,https://www.tubefilter.com/2019/01/22/att-returns-to-youtube-after-adpocalypse/
"AT&T returns as a YouTube advertiser marking the end of the ""adpocalypse"": January might be a slow month, but big ad spending is on the horizon",,https://www.techspot.com/news/78341-att-returns-youtube-advertiser-marking-end-adpocalypse.html
YouTube Demonetizes Channel Belonging To Anti-Islam Political Advisor Tommy Robinson,,https://www.tubefilter.com/2019/01/17/youtube-demonetizes-tommy-robinson-ukip/
YouTube Cover Singer Lands Starring Role In Steven Spielberg’s ‘West Side Story’ Remake,,https://www.tubefilter.com/2019/01/18/youtube-cover-singer-steven-spielbergs-west-side-story/
"YouTube Trick Shot Stars ‘Dude Perfect’ Announce First Live Tour And Memberships, Ask Fans To Help Them Tie PewDiePie’s Subscriber Count",,https://www.tubefilter.com/2019/01/22/youtube-dude-perfect-tour-tiethepie/
"After Stunning Australian Open Win, Stefanos Tsitsipas Urges Stadium to Subscribe To His YouTube Channel",,https://www.tubefilter.com/2019/01/23/australian-open-stefanos-tsitsipas-youtube-channel/
"Vice Media, Hulu Japan Ink Original Content and Licensing Deal",,https://www.hollywoodreporter.com/news/vice-hulu-sign-original-content-licensing-deal-japan-1178757
Vice Media sets up experience division: Ten-strong team will create experiences for youth media company's own brands as well as for partners.,,https://www.campaignlive.co.uk/article/vice-media-sets-experience-division/1523610
Viacom Purchases Free Streaming Platform Pluto TV For $340 Million,,https://www.tubefilter.com/2019/01/23/viacom-purchases-pluto-tv-340-million/
Font expert exposes phony trust documents,,https://www.canadianlawyermag.com/legalfeeds/author/aidan-macnab/font-expert-exposes-phony-trust-documents-16726/
"Online Publishers Beware: An iPhone Snap May Go Viral, but Unauthorized Commercial Use is Still Not Fair Use",,https://www.lexology.com/library/detail.aspx?g=aad159fe-8c34-4e84-a382-c521e02ed0e0
NSA Puts Phone Charging Station at Hacker Conference in Plot to Go Viral,,https://gizmodo.com/nsa-puts-phone-charging-station-at-hacker-conference-in-1831875574
Instagram Influencers Are Seeking The Services Of Ethical Hackers To Reclaim Their Stolen Accounts,,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=4ad79f5003&e=45729ae7ce
“A never-ending war”: top influencer on what brands should know about fakes in China,,https://www.lexology.com/library/detail.aspx?g=fd1ac2fe-1ac9-4132-b73d-cb0587a353f1
