"NoW March 6, 2019",,0
"Electronic Arts, Amazon, and Comcast make bids to buy Nexon",,https://venturebeat.com/2019/02/27/electronic-arts-amazon-and-comcast-make-bids-to-buy-nexon/
Horizon Zero Dawn sold over 10 million copies in 2 years ,,http://www.gamasutra.com/view/news/337748/Horizon_Zero_Dawn_sold_over_10_million_copies_in_2_years.php
PlayStation's upcoming Chinese conference aims to boost locally-made games ,,http://www.gamasutra.com/view/news/337850/PlayStations_upcoming_Chinese_conference_aims_to_boost_locallymade_games.php
Sony PlayLink developer Wish Studios has shut down ,,http://www.gamasutra.com/view/news/337722/Sony_PlayLink_developer_Wish_Studios_has_shut_down.php
PlayStation Japan signals imminent end to PS Vita shipments,,https://www.gamesindustry.biz/articles/2019-02-19-playstation-japan-signals-imminent-end-to-ps-vita-shipments
Sony ends PlayStation Vita production in Japan ,,http://www.gamasutra.com/view/news/337844/Sony_ends_PlayStation_Vita_production_in_Japan.php
Blog: Move or Die and its four year journey to the PS4 ,,http://www.gamasutra.com/blogs/NicolaeBerbece/20190305/337807/Move_or_Die_and_its_4_Year_Journey_to_the_PlayStation_4.php
"Here are the most popular PlayStation games, based on public trophy data",,https://arstechnica.com/gaming/2019/03/here-are-the-most-popular-playstation-games-based-on-public-trophy-data/
"Wish Studios closing down: Brighton-based indie developer shutters, leading to 13 redundancies",,https://www.gamesindustry.biz/articles/2019-02-28-wish-studios-closing-down
Dev shares real talk about the personal costs of living in fear of layoffs ,,http://www.gamasutra.com/view/news/338142/Dev_shares_real_talk_about_the_personal_costs_of_living_in_fear_of_layoffs.php
Discless Xbox “Maverick” could arrive as soon as May,,https://arstechnica.com/gaming/2019/03/discless-xbox-maverick-could-arrive-as-soon-as-may/
"Disc-less Xbox arriving in May, report suggests: Latest information appears to confirm several rumours from last year",,https://www.gamesindustry.biz/articles/2019-03-06-disc-less-xbox-arriving-in-may-according-to-report
Phil Spencer claims Xbox's multi-device future will benefit everyone ,,http://www.gamasutra.com/view/news/337900/Phil_Spencer_claims_Xboxs_multidevice_future_will_benefit_everyone.php
"From ""schokly"" licensed games to a critically acclaimed indie: Oxenfree co-director Sean Krankel on the collapse of shovelware and how it helped shape Night School Studio",,https://www.gamesindustry.biz/articles/2019-03-04-from-schokly-licensed-games-to-a-critically-acclaimed-indie
"Dear Villagers: ""We're trying to find the best indie games that could be AA"" - Head of publishing Guillaume Jamet talks us through the ambition behind Playdius' rebrand",,https://www.gamesindustry.biz/articles/2019-03-04-dear-villagers-were-trying-to-find-the-best-indie-games-that-could-be-aa
"Playdius rebrands as Dear Villagers, plans to focus on PC and console titles ",,http://www.gamasutra.com/view/news/337756/Playdius_rebrands_as_Dear_Villagers_plans_to_focus_on_PC_and_console_titles.php
Dying Light dev TechLand to close Polish publishing department ,,http://www.gamasutra.com/view/news/337684/Dying_Light_dev_TechLand_to_close_Polish_publishing_department.php
"Techland planning to shut down Polish publishing division by the end of the year: 13 employees expected to be laid off by end of 2019, global publishing business to remain intact",,https://www.gamesindustry.biz/articles/2019-02-27-techland-planning-to-shut-down-polish-publishing-and-distribution-division-by-the-end-of-the-year
Merch maker Numskull Designs is getting into game publishing ,,http://www.gamasutra.com/view/news/337846/Merch_maker_Numskull_Designs_is_getting_into_game_publishing.php
Merchandise firm Numskull forms games publishing division with Rising Star vets,,https://www.gamesindustry.biz/articles/2019-03-01-merchandise-firm-numskull-forms-games-publishing-division-with-rising-star-vets
Dropbox's Angela Roseboro is Riot Games' first chief diversity officer: “I was so taken by the heart and soul of this company and - in spite of setbacks or hurdles - I'm excited to be part of this journey”,,https://www.gamesindustry.biz/articles/2019-03-01-dropboxs-angela-roseboro-is-riot-games-first-chief-diveristy-officer
"POC in Play formed to promote racial diversity, equity in UK gaming industry: Founders include multiple industry veterans, with UsTwo Games offering support",,https://www.gamesindustry.biz/articles/2019-02-28-poc-in-play-hopes-to-improve-racial-diversity-in-uk-gaming-industry
BrightLocker dissolved as devs claim unpaid debts: Holding company takes over community-building platform as developers say they haven't been paid money owed,,https://www.gamesindustry.biz/articles/2019-03-06-brightlocker-dissolved-as-devs-claim-unpaid-debts
Roblox boasts over 1 billion hours of engagement per month ,,http://www.gamasutra.com/view/news/337847/Roblox_boasts_over_1_billion_hours_of_engagement_per_month.php
"In Less Than A Day, ‘Critical Role’ Fans Pledge $3.3+ Million To Bring Animated ‘Vox Machina’ Special To Life",,https://www.tubefilter.com/2019/03/04/vox-machina-critical-role-kickstarter/
Update: Critical Role Animated Special Kickstarter Hits $4 Million,,https://ca.ign.com/articles/2019/03/05/critical-role-dd-animated-special-fully-funded-on-kickstarter-in-under-one-hour
eSports - Advergaming and the new frontier of advertising law and image rights ,,https://www.lexology.com/library/detail.aspx?g=1a468609-6646-4798-98f3-856f2d31fcfe
Nintendo announces Tetris 99 Maximus Cup tournament ,,http://www.gamasutra.com/view/news/338130/Nintendo_announces_Tetris_99_Maximus_Cup_tournament.php
"ESL & Oculus Announce Esport’s VR League Season 3, Biggest Prize Pool Yet",,https://www.roadtovr.com/esl-oculus-announce-vr-leagues-season-3-biggest-prize-pool-yet/
"Warriors Gaming Squad drafts NBA 2K League's first woman player - Chiquita Evans: ""Barriers are made to be broken... I'm just the beginning""",,https://www.gamesindustry.biz/articles/2019-03-06-warriors-gaming-squad-drafts-nba-2k-leagues-first-woman-player
VR and cloud gaming frenzy seizes MWC as 5G hype builds,,https://venturebeat.com/2019/02/27/vr-and-cloud-gaming-frenzy-seizes-mwc-as-5g-hype-builds/
Hipfire Games raises additional $205k for VR gameFailspace ,,http://www.gamasutra.com/view/news/337761/Hipfire_Games_raises_additional_205k_for_VR_game_Failspace.php
"VR and mobile developer Hipfire Games raises over $200,000: Financial investment to boost debut game Fail Space",,https://www.gamesindustry.biz/articles/2019-02-28-vr-and-mobile-developer-hipfire-games-raises-over-USD200-000
Crowdfunding platform BrightLocker shuts down ,,http://www.gamasutra.com/view/news/338135/Crowdfunding_platform_BrightLocker_shuts_down.php
"Why HTC targeted Vive Pro at gamers, and why Pro Eye won’t replace it",,https://venturebeat.com/2019/03/03/htc-interview-why-it-targeted-vive-pro-at-gamers-and-why-pro-eye-wont-replace-it/
Magic Leap Announces First Round of Independent Creator Program Grant Recipients,,https://www.roadtovr.com/magic-leap-announces-first-round-creator-program-grant-recipients/
"Oculus planning a stricter, 'quality-first' approach for Quest app submissions ",,http://www.gamasutra.com/view/news/337755/Oculus_planning_a_stricter_qualityfirst_approach_for_Quest_app_submissions.php
"Oculus Quest targets ""quality-first"" approach with more stringent store curation: Developers must have concept document approved before submitting games to Quest store",,https://www.gamesindustry.biz/articles/2019-02-28-oculus-quest-targets-quality-first-approach-with-more-stringent-store-curation
Blog: Designing a planet-scale real-world AR platform ,,http://www.gamasutra.com/blogs/EdwardWu/20190227/337414/Designing_a_planetscale_realworld_AR_platform.php
Blog: Remembering Advance Wars ,,http://www.gamasutra.com/blogs/JoshBycer/20190226/337442/Remembering_Advance_Wars.php
Road to the IGF: Seemingly Pointless' eCheese Zone ,,http://www.gamasutra.com/view/news/337325/Road_to_the_IGF_Seemingly_Pointless_eCheese_Zone.php
YouTube Premium’s Woman-Led Video Game Dramedy ‘It’s A Man’s World’ Sets Core Cast,,https://www.tubefilter.com/2019/03/05/youtube-premum-its-a-mans-world-cast/
The Influencer is dead. Long live the influencer: Latest analysis shows Top 10 influencers account for 84% of yearly view growth - but a spot in that list is not secure year-on-year,,https://www.gamesindustry.biz/articles/2019-03-06-the-influencer-is-dead-long-live-the-influencer
"U.S. Patent No. 4,445,187: Video games with voice dialog ",,https://www.lexology.com/library/detail.aspx?g=e44827f8-d1d7-48e0-90e7-c0a7d3b3acbf
Blog: Historians discuss Far Cry 2 ,,http://www.gamasutra.com/blogs/BobWhitaker/20190228/337636/Historians_discuss_Far_Cry_2.php
DIGITAL,,0
