"NoW January 9, 2019",0
PS4 sales reach 91.6 million worldwide: Spider-Man sales pass nine million,https://www.gamesindustry.biz/articles/2019-01-08-ps4-sales-reach-91-6-million-worldwide
Marvel's Spider-Man has sold over 9 million copies worldwide ,http://www.gamasutra.com/view/news/333921/Marvels_SpiderMan_has_sold_over_9_million_copies_worldwide.php
"God of War, Marvel's Spider-Man among Writers Guild award nominees ",http://www.gamasutra.com/view/news/333868/God_of_War_Marvels_SpiderMan_among_Writers_Guild_award_nominees.php
Cory Barlog on rebooting God of War: 'We don't just want to erase the past' ,http://www.gamasutra.com/view/news/333873/Cory_Barlog_on_rebooting_God_of_War_We_dont_just_want_to_erase_the_past.php
Hobbyists resurrect Kojima’s “lost” game P.T. as a free PC download,https://arstechnica.com/gaming/2019/01/hobbyists-resurrect-kojimas-lost-game-p-t-as-a-free-pc-download/
Report: Nexon founder looking to sell controlling stake for $8.9 billion,http://www.gamasutra.com/view/news/333733/Report_Nexon_founder_looking_to_sell_controlling_stake_for_89_billion.php
"Nexon founder reportedly preparing to sell controlling share in company: Kim Jung-ju's 98.64% stake, worth an estimated $9 billion, may soon be on the table for companies such as Tencent or Netmarble",https://www.gamesindustry.biz/articles/2019-01-03-nexon-founder-reportedly-preparing-to-sell-controlling-stake-in-company
"Square Enix president promises year of ""aggressive expansion"" overseas: Publisher will relaunch dormant Indian subsidiary and look to work with Chinese developers and publishers",https://www.gamesindustry.biz/articles/2019-01-03-square-enix-president-promises-year-of-aggressive-expansion-overseas
Robot Entertainment closing servers for Orcs Must Die! Unchained and Hero Academy games ,http://www.gamasutra.com/view/news/333980/Robot_Entertainment_closing_servers_for_Orcs_Must_Die_Unchained_and_Hero_Academy_games.php
"Robot Entertainment to shut down Orcs Must Die! Unchained, Hero Academy games: Studio says it was running games ""at a financial loss"" for months, will focus on future titles",https://www.gamesindustry.biz/articles/2019-01-07-robot-entertainment-to-shut-down-orcs-must-die-unchained-hero-academy-games
Update: Fired Activision Blizzard CFO Joins Netflix,https://ca.ign.com/articles/2019/01/03/activision-set-to-fire-cfo-for-mysterious-undeclared-cause
Activision Blizzard appoints company veterans as new divisional presidents ,http://www.gamasutra.com/view/news/334065/Activision_Blizzard_appoints_company_veterans_as_new_divisional_presidents.php
Pokemon Go dev Niantic secures $190 million investment ,http://www.gamasutra.com/view/news/333779/Pokemon_Go_dev_Niantic_secures_190_million_investment.php
Niantic closes out $190m investment round: Follows on from year which saw Pokémon Go grow 35% and generate nearly $800 million revenue,https://www.gamesindustry.biz/articles/2019-01-04-niantic-closes-out-usd190m-investment-round
Second Dinner grabs Marvel partnership and $30M investment for inaugural game ,http://www.gamasutra.com/view/news/333749/Second_Dinner_grabs_Marvel_partnership_and_30M_investment_for_inaugural_game.php
Second Dinner raises $30 million for upcoming Marvel game: NetEase partnership helps fund licensed IP as team moves into Irvine office space,https://www.gamesindustry.biz/articles/2019-01-03-second-dinner-raises-usd30-million-for-upcoming-marvel-game
Conan Exiles dev Funcom acquires majority stake in Zona Paradoxal ,http://www.gamasutra.com/view/news/334035/Conan_Exiles_dev_Funcom_acquires_majority_stake_in_Zona_Paradoxal.php
Paradox acquires Prison Architect franchise from Introversion ,http://www.gamasutra.com/view/news/333938/Paradox_acquires_Prison_Architect_franchise_from_Introversion.php
Old School Runescape mobile downloads hit 5m: Long-standing MMO makes strong start on iOS and Android,https://www.gamesindustry.biz/articles/2019-01-04-old-school-runescape-mobile-downloads-hit-5m
"Video: Making games better with psychology, theUncharted way ",http://www.gamasutra.com/view/news/333785/Video_Making_games_better_with_psychology_the_Uncharted_way.php
Video: How to encourage cooperative behavior during co-op play ,http://www.gamasutra.com/view/news/333874/Video_How_to_encourage_cooperative_behavior_during_coop_play.php
Unity opens $25k contest for in-dev games with meaningful impact ,http://www.gamasutra.com/view/news/333872/Unity_opens_25k_contest_for_indev_games_with_meaningful_impact.php
Super League Gaming proposes IPO: Amateur esports platform prepares to raise up to $25 million to fund its aspirations,https://www.gamesindustry.biz/articles/2019-01-07-super-league-gaming-proposes-ipo
Overwatch Team Says Player Questioned About Identity Was Impostor After All,https://kotaku.com/new-information-has-emerged-about-ellie-the-overwatch-1831507035
Overwatch Fan's Letter To Jeff Kaplan About Black Women Gets Heartfelt Response,https://kotaku.com/overwatch-fan-writes-letter-to-jeff-kaplan-about-black-1831576005
"Tales of an aging gamer: Why don’t I pick up a controller as often as I used to?: We keep getting older, the games stay the same (and science backs that up).",https://arstechnica.com/gaming/2019/01/tales-of-an-aging-gamer-why-dont-i-pick-up-a-controller-as-often-as-i-used-to/
Blog: Four ways my video game habits changed in 2018 ,http://www.gamasutra.com/blogs/BenWeber/20190102/333644/4_Ways_my_Gaming_Habits_Changed_in_2018.php
Opinion: Here's what 2019 will be like for the game biz ,http://www.gamasutra.com/view/news/333675/Opinion_Heres_what_2019_will_be_like_for_the_game_biz.php
10 Big Video Game Rumors Going Into 2019,https://ca.ign.com/articles/2019/01/08/10-big-video-game-rumors-going-into-2019
The Sims is integrating with Amazon Alexa devices ,http://www.gamasutra.com/view/news/333983/The_Sims_is_integrating_with_Amazon_Alexa_devices.php
Red Dead Redemption 2 leads list of GDC 2019 Choice Awards nominees! ,http://www.gamasutra.com/view/news/333754/Red_Dead_Redemption_2_leads_list_of_GDC_2019_Choice_Awards_nominees.php
Black Mirror's 'Bandersnatch' was loosely inspired by a cancelled game ,http://www.gamasutra.com/view/news/333750/Black_Mirrors_Bandersnatch_was_loosely_inspired_by_a_cancelled_game.php
Video: A classic postmortem of Bejeweled  ,0
Berlin museum opens exhibition exploring the queer history of games ,http://www.gamasutra.com/view/news/334054/Berlin_museum_opens_exhibition_exploring_the_queer_history_of_games.php
DIGITAL,0
Court: Politicians who block citizens on social media violate 1st Amendment,https://arstechnica.com/tech-policy/2019/01/court-politicians-who-block-citizens-on-social-media-violate-1st-amendment/
Please don’t repeat these things WikiLeaks says you can’t say about Assange [Updated],https://arstechnica.com/tech-policy/2019/01/140-things-wikileaks-says-reporters-cant-say-about-assange/
Irony Alert: Wikileaks Sends Reporters A List Of 140 Things Not To Say About Julian Assange; Tells Them Not To Publish,https://www.techdirt.com/articles/20190107/11261741350/irony-alert-wikileaks-sends-reporters-list-140-things-not-to-say-about-julian-assange-tells-them-not-to-publish.shtml
"Copyright, Culture, Sharing, Remix... And A Congresswoman Dancing As A College Student",https://www.techdirt.com/articles/20190104/12443041332/copyright-culture-sharing-remix-congresswoman-dancing-as-college-student.shtml
Lawsuit Accuses Weather Channel App of Misleading Users and Profiting From Their Location Data,https://gizmodo.com/lawsuit-accuses-weather-channel-app-of-misleading-users-1831506990
Lawsuit: Weather Channel illegally shared user location data with advertisers,https://arstechnica.com/tech-policy/2019/01/weather-channel-app-helped-advertisers-track-users-movements-lawsuit-says/
"T-Mobile, Sprint, and AT&T still selling your location data, report says",https://arstechnica.com/tech-policy/2019/01/t-mobile-sprint-and-att-still-selling-your-location-data-report-says/
City Attorney of Los Angeles Sues Popular Weather App Claiming Deceptive Collection and Sharing of Geolocation Data ,https://www.lexology.com/library/detail.aspx?g=18ab1d4e-2747-4a6f-a74c-7af1214bcb74
"Another Day, Another Massive Cellular Location Data Privacy Scandal We'll Probably Do Nothing About",https://www.techdirt.com/articles/20190108/11090741358/another-day-another-massive-cellular-location-data-privacy-scandal-well-probably-do-nothing-about.shtml
Fifth Circuit Says Apple Can't Be Held Liable For A Car Crash Caused By Someone Reading Text Messages,https://www.techdirt.com/articles/20181231/09352741311/fifth-circuit-says-apple-cant-be-held-liable-car-crash-caused-someone-reading-text-messages.shtml
Court of Appeal invalidates Uber’s arbitration clause,https://www.lawtimesnews.com/author/anita-balakrishnan/court-of-appeal-invalidates-ubers-arbitration-clause-16683/
New App Allows Users to Create “Binding Video Contracts”,https://www.gerryriskin.com/new-app-allows-users-to-create-binding-video-contracts/
IP and social media — a guide for content creators and meme sharers,https://www.lexology.com/library/detail.aspx?g=057250f1-c78f-4bc6-a7f2-38f047b266c0
Apple Stock Price Plunges After Earnings Warning,https://variety.com/2019/digital/news/apple-stock-price-plunge-earnings-warning-1203098403/
Apple stock plummets 8% on news of grim Q1 2019 outlook,https://arstechnica.com/gadgets/2019/01/apple-stock-plummets-8-on-news-of-grim-q1-2019-outlook/
The $450 billion wipeout: Apple's value has fallen by more than Facebook's entire worth in 3 short months,https://www.businessinsider.com/apples-market-cap-falls-by-450-billion-more-than-the-value-of-facebook-2019-1
What Happened the Last Time Apple Had a Panic This Bad,https://gizmodo.com/what-happened-the-last-time-apple-had-a-panic-this-bad-1831455815
Tim Cook points at new services and health-tech propelling Apple’s future,https://arstechnica.com/gadgets/2019/01/tim-cook-points-at-new-services-and-health-tech-propelling-apples-future/
Apple Admits The Obvious: User Repairs Harm The Bottom Line,https://www.techdirt.com/articles/20190103/11204741328/apple-finally-admits-obvious-users-repairing-their-own-devices-harms-revenues.shtml
Apple's Snuck Its Way Into LG's 2019 Televisions,https://gizmodo.com/apples-snuck-its-way-into-lgs-2019-televisions-1831538736
Qualcomm forces Apple to stop selling iPhone 7 and 8 in Germany,https://arstechnica.com/tech-policy/2019/01/patent-issues-force-apple-to-halt-iphone-7-and-8-sales-in-germany/
Report: Huawei punishes employees behind embarrassing iPhone tweet,https://arstechnica.com/gadgets/2019/01/report-huawei-punishes-employees-behind-embarrassing-iphone-tweet/
Controversial Mystery Box Website Responds To Criticism From The YouTube Community,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=e17d15f261&e=45729ae7ce
Brands warned over legal issues on alleged “scam” gambling platform MysteryBrand,https://www.lexology.com/library/detail.aspx?g=8d2697e9-b699-4b89-993f-c9689bb1c793
"Despite Losing Its Copyright Case, The State Of Georgia Still Trying To Stop Carl Malamud From Posting Its Laws",https://www.techdirt.com/articles/20190106/22250741346/despite-losing-copyright-case-state-georgia-still-trying-to-stop-carl-malamud-posting-laws.shtml
Amazon is the most valuable public company in the world after passing Microsoft,https://www.cnbc.com/2019/01/07/amazon-passes-microsoft-market-value-becomes-largest.html
Microsoft is helping America’s largest grocery chain fight off Amazon: Microsoft and Kroger unite to ‘redefine grocery retail’,https://www.theverge.com/2019/1/8/18154802/microsoft-kroger-retail-partnership-digital-signs-image-recognition-temperature-sensor
"Microsoft, Kroger team up to fight Amazon with high-tech grocery stores",https://arstechnica.com/information-technology/2019/01/microsoft-kroger-team-up-to-fight-amazon-with-high-tech-grocery-stores/
NFL launches voice-powered football guide for Amazon Alexa,https://www.cnbc.com/2019/01/04/nfl-launches-voice-powered-football-guide-for-amazon-alexa.html
Amazon's latest advertising play involves free samples delivered right to your door,https://www.cnbc.com/2019/01/08/amazon-test-ships-free-samples-to-customers.html
Google boasts 1 billion Assistant devices—10x Amazon Alexa’s install base,https://arstechnica.com/gadgets/2019/01/google-assistant-flexes-on-alexa-announces-1-billion-strong-install-base/
Amazon attempts less-creepy delivery by placing packages in your garage,https://arstechnica.com/gadgets/2019/01/amazon-attempts-less-creepy-delivery-by-placing-packages-in-your-garage/
Instagram now lets you post to multiple accounts at the same time,https://www.theverge.com/2019/1/9/18175730/instagram-multiple-accounts-post-at-the-same-time-ios
TCL to Launch First Roku 8K TVs This Year,https://variety.com/2019/digital/news/tcl-roku-8k-tv-1203100326/
I Was Over 8K TVs Before They Even Happened,https://gizmodo.com/i-was-over-8k-tvs-before-they-even-happened-1831568473
"UK Court: Guy Who Didn't Write Defamatory Tweet Needs To Pay $50,000 In Damages Because The Guy Who Did Doesn't Have Any Money",https://www.techdirt.com/articles/20181227/19111841304/uk-court-guy-who-didnt-write-defamatory-tweet-needs-to-pay-50000-damages-because-guy-who-did-doesnt-have-any-money.shtml
Texas indicts Cody Wilson on multiple counts of sexual assault of a minor: Advocate of 3D printed guns faces up to 20 years in prison if convicted.,https://arstechnica.com/tech-policy/2019/01/texas-indicts-cody-wilson-on-multiple-counts-of-sexual-assault-of-a-minor/
"Almost $500,000 in Ethereum Classic coin stolen by forking its blockchain",https://arstechnica.com/information-technology/2019/01/almost-500000-in-ethereum-coin-stolen-by-forking-its-blockchain/
EU's First Attempt At Building A List Of Evil Pirate Sites... Lists Non-Infringing Sites,https://www.techdirt.com/articles/20181226/15343941294/eus-first-attempt-building-list-evil-pirate-sites-lists-non-infringing-sites.shtml
